,Primary Situation,neighborhood_district,count
0,113 Cooking fire,Bayview Hunters Point,24
1,113 Cooking fire,Bernal Heights,6
2,113 Cooking fire,Castro/Upper Market,32
3,113 Cooking fire,Chinatown,12
4,113 Cooking fire,Excelsior,9
5,113 Cooking fire,Financial District/South Beach,16
6,113 Cooking fire,Glen Park,7
7,113 Cooking fire,Golden Gate Park,2
8,113 Cooking fire,Haight Ashbury,17
9,113 Cooking fire,Hayes Valley,36
10,113 Cooking fire,Inner Richmond,6
11,113 Cooking fire,Inner Sunset,33
12,113 Cooking fire,Japantown,6
13,113 Cooking fire,Lakeshore,38
14,113 Cooking fire,Lone Mountain/USF,6
15,113 Cooking fire,Marina,10
16,113 Cooking fire,McLaren Park,1
17,113 Cooking fire,Mission,90
18,113 Cooking fire,Mission Bay,13
19,113 Cooking fire,Nob Hill,23
20,113 Cooking fire,Noe Valley,16
21,113 Cooking fire,North Beach,15
22,113 Cooking fire,Oceanview/Merced/Ingleside,15
23,113 Cooking fire,Outer Mission,6
24,113 Cooking fire,Outer Richmond,21
25,113 Cooking fire,Pacific Heights,10
26,113 Cooking fire,Portola,4
27,113 Cooking fire,Potrero Hill,12
28,113 Cooking fire,Presidio Heights,7
29,113 Cooking fire,Russian Hill,16
30,113 Cooking fire,South of Market,95
31,113 Cooking fire,Sunset/Parkside,22
32,113 Cooking fire,Tenderloin,180
33,113 Cooking fire,Twin Peaks,6
34,113 Cooking fire,Visitacion Valley,5
35,113 Cooking fire,West of Twin Peaks,16
36,113 Cooking fire,Western Addition,52
37,151 Outside rubbish,Bayview Hunters Point,221
38,151 Outside rubbish,Bernal Heights,79
39,151 Outside rubbish,Castro/Upper Market,53
40,151 Outside rubbish,Chinatown,25
41,151 Outside rubbish,Excelsior,6
42,151 Outside rubbish,Financial District/South Beach,112
43,151 Outside rubbish,Glen Park,3
44,151 Outside rubbish,Golden Gate Park,29
45,151 Outside rubbish,Haight Ashbury,8
46,151 Outside rubbish,Hayes Valley,60
47,151 Outside rubbish,Inner Richmond,13
48,151 Outside rubbish,Inner Sunset,10
49,151 Outside rubbish,Japantown,6
50,151 Outside rubbish,Lakeshore,9
51,151 Outside rubbish,Lincoln Park,1
52,151 Outside rubbish,Lone Mountain/USF,9
53,151 Outside rubbish,Marina,25
54,151 Outside rubbish,Mission,292
55,151 Outside rubbish,Mission Bay,19
56,151 Outside rubbish,Nob Hill,85
57,151 Outside rubbish,Noe Valley,6
58,151 Outside rubbish,North Beach,21
59,151 Outside rubbish,Oceanview/Merced/Ingleside,19
60,151 Outside rubbish,Outer Mission,34
61,151 Outside rubbish,Outer Richmond,13
62,151 Outside rubbish,Pacific Heights,20
63,151 Outside rubbish,Portola,22
64,151 Outside rubbish,Potrero Hill,51
65,151 Outside rubbish,Presidio Heights,13
66,151 Outside rubbish,Russian Hill,28
67,151 Outside rubbish,Seacliff,2
68,151 Outside rubbish,South of Market,199
69,151 Outside rubbish,Sunset/Parkside,29
70,151 Outside rubbish,Tenderloin,286
71,151 Outside rubbish,Twin Peaks,2
72,151 Outside rubbish,Visitacion Valley,5
73,151 Outside rubbish,West of Twin Peaks,11
74,151 Outside rubbish,Western Addition,127
75,311 Medical assist,Bayview Hunters Point,34
76,311 Medical assist,Bernal Heights,17
77,311 Medical assist,Castro/Upper Market,12
78,311 Medical assist,Chinatown,7
79,311 Medical assist,Excelsior,9
80,311 Medical assist,Financial District/South Beach,32
81,311 Medical assist,Glen Park,1
82,311 Medical assist,Golden Gate Park,10
83,311 Medical assist,Haight Ashbury,5
84,311 Medical assist,Hayes Valley,15
85,311 Medical assist,Inner Richmond,5
86,311 Medical assist,Inner Sunset,10
87,311 Medical assist,Japantown,5
88,311 Medical assist,Lakeshore,5
89,311 Medical assist,Lone Mountain/USF,9
90,311 Medical assist,Marina,18
91,311 Medical assist,McLaren Park,2
